id,bron,doel,eigenaar,kijkrichting,camera_type,geom
76,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000001500E319345414403562669FC70E4A40
77,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000DEAB5626FC5214400E828E56B50E4A40
78,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000209738F240541440394206F2EC0E4A40
79,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000DAC87553CA5B144098689082A70E4A40
80,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000A2EE0390DA741440CC24EA059F0C4A40
81,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000045F295404A6C14408BAA5FE97C0C4A40
82,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B7EEE6A90E691440FFB27BF2B00C4A40
83,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000007BDD2230D667144054E3A59BC40C4A40
84,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000514B732B8465144032E9EFA5F00C4A40
85,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005BEF37DA71631440B9A7AB3B160D4A40
86,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B05417F0329314405B272EC72B0A4A40
87,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F2D3B837BF911440698EACFC320A4A40
88,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000BFD2F9F02C911440E63BF889030A4A40
89,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E610000093BE1D9CE075144098C8FDF5A70D4A40
90,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000003F63B7B3D57B14409E3956EF910D4A40
91,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000333E2CD1E2851440406F850B540D4A40
92,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000BB797FC3119014402D461B4F1D0D4A40
93,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000252D8D46DB921440768E7DA0470C4A40
94,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000BB28F1EE0592144037C1DC932C0A4A40
95,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000841404DBFD8E14406C4DCA0FA2094A40
96,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000D657A393AF7E14409A9AE3605F084A40
97,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000FCB3DA54C17A1440D1AEA5F48A084A40
98,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000007FCE2B3E087414405B7BC0B8AB084A40
99,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000009FFAEEF36B6D1440A9CFDDC7B4084A40
100,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000F1C55651356614403C7152FBA1094A40
101,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000C98F1924546114400B5662BFA30A4A40
102,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000009B2BAB32515F1440F70468DF050C4A40
103,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000CB09292BC5651440675C1F73F10C4A40
104,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000005735C90E78681440F407DA4F0C0D4A40
105,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000196F3DA0F2B71440C1095C89860B4A40
106,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000D83AA3739F981440C79E1C89C00B4A40
107,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000004A094A9CD8971440AF9AA56CAA0B4A40
108,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000004C55EEC6019E144099570100780C4A40
109,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E61000001621773C26A51440AF38624ECC0A4A40
110,gemeente_utrecht,Verkeersonderzoek/No Spits Today,Gemeente Utrecht/Rijkswaterstaat,onbekend,onbekend,0101000020E6100000A18CCD9B7E6D14404F253DEB1E0D4A40
111,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E610000099BB96900F6A1440FA635A9BC60E4A40
112,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E610000066BD18CA8956144012876C205D0A4A40
113,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B4E4F1B4FCA01440B2F2CB608C0A4A40
114,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E610000042EDB776A264144053B131AF230A4A40
115,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E61000002F151BF33A021440E31934F44F0C4A40
116,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B08D78B29B791440329067976F0F4A40
117,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000C70F9546CC0C144091628044130C4A40
118,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000D5AF743E3C5B144029E8F692C60C4A40
119,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000047289230F041440D9EC48F59D0B4A40
120,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000D0ECBAB722811440D594641D8E0C4A40
121,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000BFD53A71397E14403ECE3461FB094A40
122,gemeente_utrecht,Bescherming eigendommen/personen,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F661BD512B6C144083C30B2252074A40
